reaction	clustering_coef
DM_4CRSOL	0
DM_5DRIB	0
DM_AACALD	0
DM_AMOB	0
DM_MTHTHF	0
DM_OXAM	0
Ec_biomass_iJO1366_WT_53p95M	0.2692510599422259
Ec_biomass_iJO1366_core_53p95M	0.2677898947751231
EX_12ppd__R_e	0
EX_12ppd__S_e	0
EX_14glucan_e	0
EX_15dap_e	0
EX_23camp_e	0
EX_23ccmp_e	0
EX_23cgmp_e	0
EX_23cump_e	0
EX_23dappa_e	0
EX_26dap__M_e	0
EX_2ddglcn_e	0
EX_34dhpac_e	0
EX_3amp_e	0
EX_3cmp_e	0
EX_3gmp_e	0
EX_3hcinnm_e	0
EX_3hpp_e	0
EX_3hpppn_e	0
EX_3ump_e	0
EX_4abut_e	0
EX_4hoxpacd_e	0
EX_5dglcn_e	0
EX_5mtr_e	0
EX_LalaDglu_e	0
EX_LalaDgluMdap_e	0
EX_LalaDgluMdapDala_e	0
EX_LalaLglu_e	0
EX_ac_e	0
EX_acac_e	0
EX_acald_e	0
EX_acgal_e	0
EX_acgal1p_e	0
EX_acgam_e	0
EX_acgam1p_e	0
EX_acmana_e	0
EX_acmum_e	0
EX_acnam_e	0
EX_acolipa_e	0
EX_acser_e	0
EX_ade_e	0
EX_adn_e	0
EX_adocbl_e	0
EX_ag_e	0
EX_agm_e	0
EX_akg_e	0
EX_ala__B_e	0
EX_ala__D_e	0
EX_ala__L_e	0
EX_alaala_e	0
EX_all__D_e	0
EX_alltn_e	0
EX_amp_e	0
EX_anhgm_e	0
EX_arab__L_e	0
EX_arbt_e	0
EX_arbtn_e	0
EX_arbtn__fe3_e	0
EX_arg__L_e	0
EX_ascb__L_e	0
EX_asn__L_e	0
EX_aso3_e	0
EX_asp__L_e	0
EX_btn_e	0
EX_but_e	0
EX_butso3_e	0
EX_ca2_e	0
EX_cbi_e	0
EX_cbl1_e	0
EX_cd2_e	0
EX_cgly_e	0
EX_chol_e	0
EX_chtbs_e	0
EX_cit_e	0
EX_cl_e	0
EX_cm_e	0
EX_cmp_e	0
EX_co2_e	0
EX_cobalt2_e	0
EX_colipa_e	0
EX_colipap_e	0
EX_cpgn_e	0
EX_cpgn__un_e	0
EX_crn_e	0
EX_crn__D_e	0
EX_csn_e	0
EX_cu_e	0
EX_cu2_e	0
