	bigg_id	gene_name	reaction
0	b1377	ompN	Zn2tex
1	b2215	ompC	Zn2tex
2	b0929	ompF	Zn2tex
3	b0241	phoE	Zn2tex
4	b4034	malE	MALTabcpp
5	b4033	malF	MALTabcpp
6	b4032	malG	MALTabcpp
7	b4035	malK	MALTabcpp
8	b4036	lamB	MALTtexi
9	b4213	cpdB	3NTD9pp
10	b2835	lplT	2AGPG181tipp
11	b2836	aas	AACPS9
12	b3553	ghrB	HPYRRy
13	b1134	nudJ	TDP
14	b0446	cof	PYDXPP
15	b1009	rutD	3AMACHYD
16	b0954	fabA	T2DECAI
17	b0180	fabZ	OPMEACPD
18	b0347	mhpA	3HPPPNH
19	b3580	lyxK	XYLK2
20	b1093	fabG	OPMEACPR
21	b2323	fabB	OPMEACPS
22	b1095	fabF	KAS14
23	b1397	paaJ	OXDHCOAT
24	b1245	oppC	4PEPTabcpp
25	b1244	oppB	4PEPTabcpp
26	b1329	mppA	3PEPTabcpp
27	b1246	oppD	4PEPTabcpp
28	b1247	oppF	4PEPTabcpp
29	b1386	tynA	TYROXDApp
30	b0004	thrC	THRS
31	b1192	ldcA	UM4PCP
32	b1243	oppA	4PEPTabcpp
33	b4266	idnO	5DGLCNR
34	b4265	idnT	IDONt2rpp
35	b0159	mtn	MTAN
36	b3197	kdsD	A5PISO
37	b2708	srlQ	A5PISO
38	b1094	acpP	UAGAAT
39	b4481	wecF	AADDGT
40	b1927	amyA	AAMYL
41	b3571	malS	AAMYLpp
42	b2901	bglA	AB6PGH
43	b1302	puuE	ABTA
44	b2662	gabT	ABTA
45	b1444	patD	ABUTD
46	b2663	gabP	ABUTt2pp
47	b2222	atoA	HXCT
48	b2221	atoD	HXCT
49	b2224	atoB	ACACT1r
50	b2342	fadI	ACACT8r
51	b3845	fadA	ACACT8r
52	b2223	atoE	HEXt2rpp
53	b1241	adhE	ALCD2x
54	b0351	mhpF	ACALD
55	s0001		SO2tpp
56	b1463	nhoA	ACANTHAT
57	b1993	cobU	ADOCBIK
58	b2316	accD	ACCOAC
59	b3255	accB	ACCOAC
60	b0185	accA	ACCOAC
61	b3256	accC	ACCOAC
62	b4069	acs	ACS
63	b1119	nagK	ACGAMK
64	b3784	wecA	ACGAMT
65	b2415	ptsH	TREptspp
66	b0679	nagE	ACGAptspp
67	b1101	ptsG	GLCptspp
68	b2417	crr	TREptspp
69	b2416	ptsI	TREptspp
70	b3959	argB	ACGK
71	b2818	argA	ACGS
72	b0078	ilvH	ACLS
73	b3670	ilvN	ACLS
74	b3671	ilvB	ACLS
75	b0077	ilvI	ACLS
76	b3115	tdcD	PPAKr
77	b1849	purT	GART
78	b2296	ackA	ACKr
79	b2428	murQ	ACM6PH
80	b3794	wecG	ACMAMUT
81	b1818	manY	MANptspp
82	b1819	manZ	MANptspp
83	b1817	manX	MANptspp
84	b2429	murP	SUCptspp
85	b3224	nanT	ACNAMt2pp
86	b4311	nanC	ACNAMtex
87	b3225	nanA	ACNML
88	b0221	fadE	ACOAD8f
89	b1091	fabH	OGMEACPS
90	b3957	argE	NACODA
91	b3200	lptA	O16A4COLIPAabctex
92	b4261	lptF	O16A4COLIPAabctex
93	b3201	lptB	O16A4COLIPAabctex
94	b4262	lptG	O16A4COLIPAabctex
95	b3199	lptC	O16A4COLIPAabctex
96	b1519	tam	ACONMT
97	b1276	acnA	ACONTb
98	b0118	acnB	MICITDr
99	b1748	astC	SOTA
100	b3359	argD	SDPTA
101	b1090	plsX	ACPPAT181
102	b3475	acpT	ACPS1
103	b2563	acpS	ACPS1
104	b2578	eamB	CYStpp
105	b1533	eamA	CYStpp
106	b4067	actP	GLYCLTt4pp
107	b1623	add	DADA
108	b1096	pabC	ADCL
109	b1812	pabB	GLUN
110	b3360	pabA	ADCS
111	b3665	adeD	ADD
112	b3654	xanP	XANt2pp
113	b3714	adeP	ADEt2rpp
114	b0474	adk	NDPK8
115	b0120	speD	ADMDC
116	b3806	cyaA	ADNCYC
117	b0030	rihC	XTSNH
118	b2393	nupC	URIt2pp
119	b2964	nupG	URIt2pp
120	b2406	xapB	XTSNt2rpp
121	b0411	tsx	URItex
122	b1992	cobS	ADOCBLS
123	b1709	btuD	CBL1abcpp
124	b0158	btuF	CBL1abcpp
125	b1711	btuC	CBL1abcpp
126	b3966	btuB	CBL1tonex
127	b3005	exbD	FEOXAMtonex
128	b3006	exbB	FEOXAMtonex
129	b1252	tonB	FEOXAMtonex
130	b3397	nudE	ADPRDP
131	b3034	nudF	ADPRDP
132	b0469	apt	ADPT
133	b2750	cysC	ADSK
134	b1131	purB	ADSL2r
135	b4177	purA	ADSS
136	b0677	nagA	AGDC
137	b0110	ampD	AM4PA
138	b2817	amiC	AGM4PApp
139	b2435	amiA	AGM4PApp
140	b4169	amiB	AGM4PApp
141	b1107	nagZ	AGMH
142	b0433	ampG	AGMt2pp
143	b3619	hldD	AGMHE
144	b2937	speB	AGMT
145	b3018	plsC	AGPAT181
146	b3958	argC	AGPR
147	b0575	cusA	CUt3
148	b0572	cusC	CUt3
149	b0573	cusF	CUt3
150	b0574	cusB	CUt3
151	b4006	purH	IMPC
152	b0522	purK	AIRC2
153	b0523	purE	AIRC3
154	b0727	sucB	AKGDH
155	b0116	lpd	PDH
156	b0726	sucA	AKGDH
157	b2587	kgtP	AKGt2rpp
158	b1488	ddpX	ALAALAD
159	b3542	dppC	PROGLYabcpp
160	b1486	ddpB	ALAALAabcpp
161	b1485	ddpC	ALAALAabcpp
162	b3543	dppB	PROGLYabcpp
163	b3541	dppD	PROGLYabcpp
164	b1484	ddpD	ALAALAabcpp
165	b3540	dppF	PROGLYabcpp
166	b3544	dppA	PROGLYabcpp
167	b1483	ddpF	ALAALAabcpp
168	b1487	ddpA	ALAALAabcpp
169	b0092	ddlB	ALAALAr
170	b0381	ddlA	ALAALAr
171	b1325	ycjG	ALAGLUE
172	b1190	dadX	ALAR
173	b4053	alr	ALAR
174	b2551	glyA	THRAi
175	b0870	ltaE	THRAi
176	b2379	alaC	ALATA_L
177	b2290	alaA	ALATA_L
178	b2697	alaS	ALATRS
179	b3460	livJ	VALabcpp
180	b3456	livM	VALabcpp
181	b3457	livH	VALabcpp
182	b3455	livG	VALabcpp
183	b3454	livF	VALabcpp
184	b4208	cycA	GLYt2pp
185	b0007	yaaJ	GLYt4pp
186	b0356	frmA	FALDH2
187	b1478	adhP	ALCD2x
188	b1385	feaB	ALDD19xr
189	b1300	puuC	GGGABADr
190	b3588	aldB	ALDD3y
191	b4084	alsK	ALLK
192	b4090	rpiB	RPI
193	b0516	allC	ALLTAMH
194	b0512	allB	ALLTN
195	b0511	ybbW	ALLTNt2rpp
196	b4085	alsE	ALLULPE
197	b4087	alsA	RIBabcpp
198	b4086	alsC	RIBabcpp
199	b4088	alsB	RIBabcpp
200	b0657	lnt	ALPATG160pp
201	b1677	lpp	ALPATG160pp
202	b1781	yeaE	ALR2
203	b3001	gpr	ALR2
204	b0207	dkgB	DKGLCNR1
205	b3012	dkgA	DKGLCNR1
206	b3945	gldA	LALDO2x
207	b3091	uxaA	ALTRH
208	b3416	malQ	AMALT4
209	b3223	nanE	AMANAPEr
210	b3222	nanK	AMANK
211	b0774	bioA	AMAOTr
212	b3833	ubiE	OMBZLM
213	b3994	thiC	AMPMS2
214	b1982	amn	AMPN
215	b0932	pepN	AMPTASEPG
216	b0237	pepD	LALGP
217	b4260	pepA	AMPTASEPG
218	b2523	pepB	AMPTASEPG
219	b1640	anmK	ANHMK
220	b1263	trpD	ANS
221	b1264	trpE	ANS
222	b0776	bioF	AOXSr2
223	b0049	apaH	GP4GH
224	b4129	lysU	LYSTRS
225	b0121	speE	SPMS
226	b3059	plsY	APG3PAT181
227	b0968	yccX	APH181
228	b0414	ribD	DHPPDA2
229	b0062	araA	ARAI
230	b0153	fhuB	FEOXAMabcpp
231	b0151	fhuC	FEOXAMabcpp
232	b0152	fhuD	FEOXAMabcpp
233	b2715	ascF	ARBTptspp
234	b3722	bglF	ARBTptspp
235	b1900	araG	ARBabcpp
236	b4460	araH	ARBabcpp
237	b1901	araF	ARBabcpp
238	b2841	araE	ARBt2rpp
239	b1528	ydeA	MELIBt3ipp
240	b4115	adiC	ARGAGMt7pp
241	b4117	adiA	ARGDC
242	b2938	speA	ARGDCpp
243	b1605	ydgI	ARGORNt7pp
244	b3960	argH	ARGSL
245	b3172	argG	ARGSS
246	b1876	argS	ARGTRS
247	b2310	argT	ORNabcpp
248	b0863	artI	ARGabcpp
249	b0860	artJ	ARGabcpp
250	b2307	hisM	ORNabcpp
251	b2308	hisQ	ORNabcpp
252	b0862	artQ	ARGabcpp
253	b2306	hisP	ORNabcpp
254	b0864	artP	ARGabcpp
255	b0861	artM	ARGabcpp
256	b2923	argO	LYSt3pp
257	b3433	asd	ASAD
258	b4192	ulaG	ASCBPL
259	b4194	ulaB	ASCBptspp
260	b4193	ulaA	ASCBptspp
261	b4195	ulaC	ASCBptspp
262	b1767	ansA	ASNN
263	b0828	iaaA	ASNN
264	b2957	ansB	GLUNpp
265	b0674	asnB	ASNS1
266	b3744	asnA	ASNS2
267	b0930	asnS	ASNTRS
268	b1453	ansP	ASNt2rpp
269	b3502	arsB	ASO3t8pp
270	b0131	panD	ASP1DC
271	b4245	pyrB	ASPCT
272	b4244	pyrI	ASPCT
273	b0002	thrA	HSDy
274	b4024	lysC	ASPK
275	b3940	metL	HSDy
276	b2574	nadB	ASPO6
277	b4139	aspA	ASPT
278	b0928	aspC	TYRTA
279	b1866	aspS	ASPTRS
280	b0654	gltJ	GLUabcpp
281	b0655	gltI	GLUabcpp
282	b0652	gltL	GLUabcpp
283	b0653	gltK	GLUabcpp
284	b3528	dctA	SUCCt2_2pp
285	b4123	dcuB	TARTt2_3pp
286	b4138	dcuA	SUCMALtpp
287	b4077	gltP	GLUt2rpp
288	b3503	arsC	ASR
289	b1064	grxB	RNDR4b
290	b1747	astA	AST
291	b1539	ydfG	MSAR
292	b2019	hisG	ATPPRT
293	b3738	atpB	ATPS4rpp
294	b3733	atpG	ATPS4rpp
295	b3732	atpD	ATPS4rpp
296	b3739	atpI	ATPS4rpp
297	b3736	atpF	ATPS4rpp
298	b3737	atpE	ATPS4rpp
